iter	Passed	Remaining
0	94	94258
1	151	75425
2	200	66563
3	246	61488
4	294	58524
5	345	57180
6	390	55339
7	418	51877
8	462	50955
9	498	49320
10	545	49046
11	589	48575
12	634	48148
13	679	47860
14	724	47598
15	755	46456
16	799	46239
17	844	46059
18	888	45881
19	919	45059
20	965	44996
21	1011	44987
22	1056	44897
23	1101	44786
24	1146	44701
25	1193	44702
26	1238	44644
27	1283	44548
28	1327	44463
29	1375	44471
30	1421	44423
31	1465	44340
32	1510	44258
33	1555	44183
34	1598	44073
35	1643	44010
36	1688	43934
37	1733	43890
38	1777	43800
39	1821	43727
40	1866	43657
41	1912	43617
42	1961	43652
43	2011	43698
44	2038	43257
45	2085	43247
46	2134	43273
47	2179	43226
48	2228	43252
49	2275	43242
50	2322	43217
51	2369	43203
52	2414	43150
53	2458	43070
54	2502	42988
55	2551	43015
56	2599	43003
57	2638	42846
58	2687	42871
59	2735	42859
60	2782	42829
61	2826	42756
62	2873	42740
63	2919	42698
64	2967	42684
65	3016	42691
66	3062	42640
67	3106	42574
68	3151	42516
69	3195	42459
70	3242	42425
71	3286	42362
72	3323	42198
73	3369	42160
74	3413	42099
75	3459	42060
76	3482	41747
77	3529	41716
78	3576	41699
79	3613	41551
80	3657	41493
81	3703	41465
82	3752	41454
83	3797	41412
84	3836	41296
85	3884	41280
86	3930	41242
87	3977	41220
88	4023	41186
89	4068	41141
90	4114	41104
91	4163	41089
92	4211	41072
93	4248	40947
94	4293	40904
95	4323	40717
96	4369	40676
97	4413	40624
98	4458	40579
99	4503	40528
100	4548	40489
101	4592	40435
102	4621	40248
103	4666	40204
104	4710	40150
105	4755	40108
106	4799	40055
107	4844	40014
108	4887	39955
109	4932	39911
110	4979	39883
111	5024	39838
112	5068	39782
113	5112	39731
114	5157	39692
115	5203	39650
116	5246	39592
117	5289	39536
118	5334	39492
119	5380	39455
120	5423	39398
121	5466	39339
122	5509	39283
123	5555	39246
124	5592	39145
125	5640	39122
